Celda,Longitud_px,Longitud_mm,Longitud_cm,Long_r,Long_h,Estado
celda_01.jpg,107,22.76,2.28,2.28,0,GERMINADA
celda_02.jpg,121,25.74,2.57,2.57,0,GERMINADA
celda_03.jpg,83,17.65,1.77,1.77,0,GERMINADA
celda_04.jpg,128,27.23,2.72,2.72,0,GERMINADA
celda_05.jpg,119,25.31,2.53,2.53,0,GERMINADA
celda_06.jpg,97,20.63,2.06,2.06,0,GERMINADA
celda_07.jpg,81,17.23,1.72,1.72,0,GERMINADA
celda_08.jpg,57,12.12,1.21,1.21,0,GERMINADA
celda_09.jpg,65,13.83,1.38,1.38,0,GERMINADA
celda_10.jpg,53,11.27,1.13,1.13,0,GERMINADA
celda_11.jpg,68,14.46,1.45,1.45,0,GERMINADA
celda_12.jpg,45,9.57,0.96,0.96,0,GERMINADA
celda_13.jpg,40,8.51,0.85,0.85,0,GERMINADA
celda_14.jpg,49,10.42,1.04,1.04,0,GERMINADA
celda_15.jpg,N/G,N/G,N/G,0.0,0,NO GERMINADA
celda_16.jpg,N/G,N/G,N/G,0.0,0,NO GERMINADA
celda_17.jpg,N/G,N/G,N/G,0.0,0,NO GERMINADA
celda_18.jpg,N/G,N/G,N/G,0.0,0,NO GERMINADA
celda_19.jpg,N/G,N/G,N/G,0.0,0,NO GERMINADA
celda_20.jpg,N/G,N/G,N/G,0.0,0,NO GERMINADA
